estrutura,n,t_insercao_ms,t_busca_ok_ms,t_busca_nok_ms,t_remocao_ms,rotacoes,colisoes,altura,comp_max,fator_carga,memoria_kb
AVL,1000,1.000,0.000,0.000,0.000,655,0,12,0,0.0000,35.1
HASH,1000,0.000,0.000,0.000,0.000,0,368,0,5,0.9891,31.2
AVL,5000,1.000,1.000,0.000,2.000,3480,0,15,0,0.0000,175.0
HASH,5000,0.000,1.000,0.000,0.000,0,1791,0,6,0.9952,155.7
AVL,10000,5.000,2.000,1.000,6.000,6915,0,16,0,0.0000,349.1
HASH,10000,3.000,1.000,1.000,1.000,0,3648,0,8,0.9923,310.6
AVL,50000,24.000,14.000,2.000,23.000,33712,0,18,0,0.0000,1708.8
HASH,50000,10.000,7.000,1.000,8.000,0,17675,0,8,0.9717,1524.5
AVL,100000,67.000,34.000,3.000,62.000,66351,0,20,0,0.0000,3354.4
HASH,100000,23.000,21.000,5.000,20.000,0,33710,0,7,0.9541,2999.6
AVL,500000,611.000,351.000,18.000,614.000,308036,0,22,0,0.0000,15498.1
HASH,500000,143.000,110.000,40.000,127.000,0,147880,0,8,0.8817,14007.3
AVL,645000,756.000,407.000,26.000,698.000,390645,0,23,0,0.0000,19641.8
HASH,645000,196.000,188.000,70.000,203.000,0,184777,0,8,0.8662,17796.5
